username,nickname,is_verified,is_privateAcc,author_num_likes,author_num_followers,author_num_following,author_num_hearts,author_num_videos
sashaamira_,Sasha Amira,False,False,6964,24900,23,1200000,116
mochiii1122,w.aw,False,False,70,17300,25,2700000,121
inisiapaa67,ladusing,False,False,211,2287,9,390800,23
bbbllas,user not found,False,False,444,4278,67,1000000,47
rsmay.n,rsmay.n,False,False,1774,3054,9,321700,12
sfhlzj,LZJFTW,False,False,1243,11600,41,307300,16
aamyrah_,amirawr,False,False,609,4406,421,420600,75
cahayabulan208,Anne,False,False,3285,18000,1100,927400,156
mochiii1122,w.aw,False,False,70,17300,25,2700000,121
qisqisfallinlove,ratu balqis,False,False,5266,3917,106,403900,64
sports_oc90,Owen Chong,False,False,14600,9716,31,825600,101
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
newbad2022,Hyper2022,False,False,1582,12300,1577,635900,165
beyourself21111,cubalagi,False,False,1539,99500,224,6000000,69
nfnbadm,leeziijia lover #2,False,False,730,10700,10,630500,63
jeljelllll,Jeljellll🌹,False,False,1379,7826,167,403000,211
jijiabaobei,bobe,False,False,1091,6934,39,661300,79
genovevamt_,Genoveva,False,False,22100,46300,94,13500000,2436
airishamysara,airisha,False,False,38500,135300,5769,2000000,165
doirlrvv,z1,False,False,55700,3776,64,270800,15
gara2sports,gara2sports,False,False,62,21800,0,1900000,43
inheritedhoney,Nā,False,False,18600,4821,137,562800,18
vyhhhh_,[hiatus; uni📚] 🔥,False,False,45500,10600,480,1200000,495
badminton.my,badminton.my,False,False,90,36000,22,1900000,107
katsinikot,Katsinikot,False,False,545,30200,20,2400000,327
hirohcheck,ur annoying b ,False,False,15200,3164,375,136700,10
ddinaaaa00,︎,False,False,2847,4999,54,1400000,82
nfnbadm,leeziijia lover #2,False,False,730,10700,10,630500,63
sbying509._,Villable,False,False,7908,2778,450,582100,70
hoangvubadminton,Hoàng Vũ Badminton,False,False,39,4610,9,147400,34
akunboocien,Asaaa 🐼,False,False,17400,2653,173,1000000,133
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
yynii_00,🧚🏻,False,False,139400,3134,46,372300,67
ihyo20,irhyo                      🦟,False,False,139700,27700,604,2600000,393
meowlzj_,laaliilaa__,False,False,67400,2977,535,444600,140
leeziijia_.fans,李梓嘉❤️‍🔥,False,False,16500,6155,245,359500,177
nrshikinb,K I N 🦋,False,False,1624,859,62,111000,8
thatonebadmintonplayer,Funbadminton,False,False,30400,1087,115,293100,187
schaaaa67,𝓢𝓬𝓱𝓪𝓪𝓪𝓪𝓪𝓪𝓪𝓪,False,False,13700,33700,108,3500000,328
_urbaeby,hola hola 🧸,False,False,3450,9984,26,636200,131
sportxedits_2022,𝕊𝕡𝕠𝕣𝕥𝕤𝕏𝔼𝕕𝕚𝕥𝕤🎭,False,False,4,5121,1,184700,16
hafeez_je,Hafeez je,False,False,59500,3335,62,274900,51
nyominyoms,nyomi nyomii,False,False,27700,8054,599,1500000,325
nuruldiana_12,Dianaa 🦋,False,False,59000,6386,405,1500000,937
godzseven16,babybird🕊,False,False,142,11200,22,1600000,62
fizlymx,Haweee,False,False,40000,22200,144,874600,122
nabilazz7,nyz ,False,False,178,2071,12,257400,81
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
nanaxsyaz,(✿ ♡‿♡),False,False,69600,16100,493,1700000,304
mochiii1122,w.aw,False,False,70,17300,25,2700000,121
sashaamira_,Sasha Amira,False,False,6964,24900,23,1200000,116
badmintonindonesiaaa,Seputar Dunia Badminton,False,False,33800,95400,249,21900000,3803
senpaii1.1,senpai,False,False,107600,1392,1330,138400,13
sbying509._,Villable,False,False,7908,2778,450,582100,70
sports_oc90,Owen Chong,False,False,14600,9716,31,825600,101
ddbadminton,DDBadminton,False,False,531,16500,5,1000000,339
padilbadminton,padilbadminton,False,False,873,113300,40,2500000,226
gyeoulbbh,小李加油！,False,False,9730,7469,59,659500,126
ahidaaa.aldzumi,idaaa 🦋,False,False,45800,1616,35,146600,29
msialover,msialover,False,False,1852,32700,9,2200000,258
bdmntn.lvrs,𝒔𝒐𝒚𝒂 𝒄𝒊𝒏𝒄𝒂𝒖,False,False,35700,9149,58,1300000,478
borahaesha02,jk’s bestie,False,False,7685,1703,7,356900,112
leyamirah,leyamirah,False,False,6319,14400,35,2300000,458
shooky_285,💜shooky💜,False,False,742,1446,463,126900,311
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
rentasimentari,위하준 ||  Wi Ha-Jun,False,False,117,10400,84,1400000,240
fnqxedtz,やさしい💫,False,False,14900,6917,2031,129100,17
shawntalkshuttle,Birmingham 2022,False,False,3,3841,3,162200,51
nic4edits,nichaaaaaaa,False,False,171,424,29,139100,15
leyamirah,leyamirah,False,False,6319,14400,35,2300000,458
penyokonglzj,penyokonglzj,False,False,70,2620,67,297200,60
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
nanaxsyaz,(✿ ♡‿♡),False,False,69600,16100,493,1700000,304
jijiabaobei,bobe,False,False,1091,6934,39,661300,79
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
paoheaddd,.,False,False,200,1397,2,150000,2
kentangputaran,Puterookies,False,False,86200,27900,390,4000000,254
nfaszra,NFasz ra,False,False,54200,896,115,80600,50
itsalmyhere,• 🇲🇾🏸 •,False,False,40600,11700,77,1800000,333
nrldnaaa,Dino🦖,False,False,2616,3344,65,1200000,244
hendroo123,🤓♍,False,False,13300,6396,111,785200,436
shahmiaqmar,AMI,False,False,609,1046,171,85600,5
ppagie_tan,MALAYSIA CHAMPION 🏸,False,False,143,25700,26,2800000,165
fhnhazmn,SongHanah,False,False,17400,5206,1520,446100,181
shattlehearts_here,-ˏˋ ʜᴏᴜʀʟʏ ʟᴢᴊ & ꜱᴡʏ ˊˎ-,False,False,495,5088,56,872500,178
yuyurandom,yuyurandom,False,False,67300,26900,186,3400000,154
junminghao_,khao🫧,False,False,144300,6881,318,615300,67
shattlehearts_here,-ˏˋ ʜᴏᴜʀʟʏ ʟᴢᴊ & ꜱᴡʏ ˊˎ-,False,False,495,5088,56,872500,178
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
ppagie_tan,MALAYSIA CHAMPION 🏸,False,False,143,25700,26,2800000,165
msialover,msialover,False,False,1852,32700,9,2200000,258
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
hafeez_je,Hafeez je,False,False,59500,3335,62,274900,51
mikylazz,ʟᴢᴊ,False,False,27000,6810,242,274500,100
ppagie_tan,MALAYSIA CHAMPION 🏸,False,False,143,25700,26,2800000,165
pqr___,🤍🐿️,False,False,30000,1024,162,88400,71
libas.shuttler.club,Libas Shuttler Club,False,False,438,6814,1690,173600,51
yr4isya,🧸💭·˚Zii Jia ༘♡ 🍫·˚ˎˊ˗,False,False,5124,5035,56,576300,184
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
ppagie_tan,MALAYSIA CHAMPION 🏸,False,False,143,25700,26,2800000,165
shattleheart._,⚡️,False,False,150,1129,0,78400,2
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
_honeybunch0,🍯,False,False,143,2221,13,187000,68
sl1315c,Zzzhang,False,False,11400,1708,81,241600,30
gyeoulbbh,小李加油！,False,False,9730,7469,59,659500,126
yr4isya,🧸💭·˚Zii Jia ༘♡ 🍫·˚ˎˊ˗,False,False,5124,5035,56,576300,184
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
mochiii1122,w.aw,False,False,70,17300,25,2700000,121
_nrhny,insanbiasa;),False,False,64000,1523,302,254700,105
_lyfeisgood_,✌🏻,False,False,187,4233,50,327400,49
agituw,agituw,False,False,8277,3147,91,586500,15
knbadminton,KN,False,False,25400,11000,95,1600000,350
aneesazahiraa,𝙞𝙁𝙖𝙢𝙂𝙎 𝘟 𝘓𝘚,False,False,17900,3934,132,347900,91
sl1315c,Zzzhang,False,False,11400,1708,81,241600,30
newbad2022,Hyper2022,False,False,1582,12300,1577,635900,165
libas.shuttler.club,Libas Shuttler Club,False,False,438,6814,1690,173600,51
lejendigital,Lejen Digital,False,False,859,2565,103,94100,176
shijiaaa,bulu tangkis,False,False,20800,2239,188,260100,38
mochiii1122,w.aw,False,False,70,17300,25,2700000,121
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
bbbllas,user not found,False,False,444,4278,67,1000000,47
xrelz_,.,False,False,32800,7313,13,647300,145
lurvmeh,🐧,False,False,104100,1261,22,165400,21
runyrubyjane,-R-,False,False,79200,8924,736,2400000,1031
s.yairah,xunqi,False,False,3187,22500,61,1200000,121
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
xymszll,Zell🦋,False,False,2084,13100,19,4400000,652
katsinikot,Katsinikot,False,False,545,30200,20,2400000,327
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
s.yairah,xunqi,False,False,3187,22500,61,1200000,121
vyhhhh_,[hiatus; uni📚] 🔥,False,False,45500,10600,480,1200000,495
jangstarz,골든차일드,False,False,3724,42600,33,5100000,641
uvyee,q,False,False,18000,11100,51,894300,62
kimhanii_,aenii🧚‍♀️,False,False,9554,18200,67,1500000,37
duduna9693,AnnaKyungsoo,False,False,41400,3007,474,439900,234
bdmntn.lvrs,𝒔𝒐𝒚𝒂 𝒄𝒊𝒏𝒄𝒂𝒖,False,False,35700,9149,58,1300000,478
luvynys,𝚜𝚝𝚞𝚌𝚔,False,False,3307,4517,16,737800,42
ninety96six,Ninety-six96,False,False,6490,39600,79,2400000,308
ndzrulzailan,ɴᴏᴢᴇʟʟʟ,False,False,3327,7452,2204,215500,115
kimhanii_,aenii🧚‍♀️,False,False,9554,18200,67,1500000,37
agituw,agituw,False,False,8277,3147,91,586500,15
symiimii,Memey,False,False,26600,644,790,81100,3
deepthinker07,deepthinker07,False,False,437,986,52,69800,16
vvi2156,vivi,False,False,2499,11500,49,2000000,780
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
cavaliered,ninaaaa,False,False,67300,12500,56,961700,42
nemacadira,haiya,False,False,430,43300,13,8200000,232
rentasimentari,위하준 ||  Wi Ha-Jun,False,False,117,10400,84,1400000,240
bebedroger_,はまか “,False,False,6182,5485,117,402900,30
melvinhatesyou_,memel,False,False,16900,15200,415,1400000,242
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
football_wanfr,WANFR,False,False,9629,9130,6,542200,79
acenss,Mmm,False,False,1521,187,59,87100,29
nanaxsyaz,(✿ ♡‿♡),False,False,69600,16100,493,1700000,304
bdmntnlovrhere,balik hostel✌🏻,False,False,18200,3266,641,690900,670
nik._angel,sadgurl ᥫ᭡,False,False,4855,2540,5,243400,45
agjk_,glo✨,False,False,1238,2711,30,721700,131
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
badmintonmalaysia___,HYLO OPEN,False,False,30200,30900,1573,3600000,368
kssxmmg__,Badminlovworld🏸🌏,False,False,58400,48100,60,6700000,715
yuyurandom,yuyurandom,False,False,67300,26900,186,3400000,154
4wsie,awc,False,False,49800,513,110,206100,26
schaaaa67,𝓢𝓬𝓱𝓪𝓪𝓪𝓪𝓪𝓪𝓪𝓪,False,False,13700,33700,108,3500000,328
melvinhatesyou_,memel,False,False,16900,15200,415,1400000,242
aneesazahiraa,𝙞𝙁𝙖𝙢𝙂𝙎 𝘟 𝘓𝘚,False,False,17900,3934,132,347900,91
jijiabaobei,bobe,False,False,1091,6934,39,661300,79
kookiequaintrelle,ziijia4lyfer,False,False,94100,2198,29,140800,88
_balqiszainal,balqisgyu,False,False,3235,53700,47,2600000,449
junminghao_,khao🫧,False,False,144300,6881,318,615300,67
itsalmyhere,• 🇲🇾🏸 •,False,False,40600,11700,77,1800000,333
rentasimentari,위하준 ||  Wi Ha-Jun,False,False,117,10400,84,1400000,240
tvstvmy,TVS,True,False,595,513200,22,7400000,3088
penyokonglzj,penyokonglzj,False,False,70,2620,67,297200,60
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
skicpvp.2nd,Ski,False,False,8851,523,140,54100,32
jialvrs,yeonjun&#39;s lego,False,False,6788,2241,32,539200,260
nr.athirahx,ᥫ᭡,False,False,25000,14200,647,306200,8
nyominyoms,nyomi nyomii,False,False,27700,8054,599,1500000,325
racketsmy,Racketsmy,False,False,3538,7035,177,636000,123
zj_iykmn,justmeh・o・,False,False,1313,2771,92,634500,166
erewaa,a,False,False,132200,12000,989,524400,49
chmochiers,☆ﾟ.*･｡ﾟjanneee ⊰⊹∘˚˳,False,False,23500,778,125,133900,21
sportxedits_2022,𝕊𝕡𝕠𝕣𝕥𝕤𝕏𝔼𝕕𝕚𝕥𝕤🎭,False,False,4,5121,1,184700,16
redzplay,Redz🍍,False,False,42700,3329,996,389100,98
bdmntn.lvrs,𝒔𝒐𝒚𝒂 𝒄𝒊𝒏𝒄𝒂𝒖,False,False,35700,9149,58,1300000,478
msialover,msialover,False,False,1852,32700,9,2200000,258
kobeh988,party party yeah,False,False,30300,27400,193,6000000,199
7.thvuser,DAEBAK![sb],False,False,7943,2137,59,86800,12
moseswck,Moses Wong,True,False,35200,1300000,205,64200000,1194
ganrial98,ganrial98,False,False,99700,1378,45,132200,3
aishahnabila_,L.M 💸,False,False,20000,18800,358,2000000,81
ashroughtoo,ash too,False,False,16300,6124,549,1200000,349
bunniee36,bunny,False,False,596,4340,3,161300,108
fhnhazmn,SongHanah,False,False,17400,5206,1520,446100,181
aetyjim,ꪖꫀꪻꪗ 🦋,False,False,19900,6535,78,357600,15
ziiziiziijia,Lovérs🤍,False,False,45,613,11,205900,128
ficnhlxk,Arifin,False,False,9021,12300,12,2000000,85
_nrhny,insanbiasa;),False,False,64000,1523,302,254700,105
chaeberry_06,Kobeh Lee,False,False,14000,4386,184,448700,35
_balqiszainal,balqisgyu,False,False,3235,53700,47,2600000,449
