username,nickname,is_verified,is_privateAcc,author_num_likes,author_num_followers,author_num_following,author_num_hearts,author_num_videos,vid_created_time,vid_desc,vid_likes,vid_plays,vid_shares,vid_comments,vid_duration,video_playAddr
footballlindia,footballlindia,False,False,215,61000,50,1600000,295,2019-12-14 22:04:04,kids skills amezing #footballtraining #lionelmessi #messi #foryou #kids #footballlindia,165100,1100000,619,39,16,https://v16m-webapp.tiktokcdn-us.com/27cc352b467046cd0bc8dce9fcf25e3d/63605ee4/video/tos/maliva/tos-maliva-ve-0068c800-us/6ce251831f2947c090a96371d39984e5/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1862&bt=931&cs=0&ds=3&ft=ebtHKHp8Myq8Z4jjNhe2N-xtfl7Gb&mime_type=video_mp4&qs=0&rc=Nzk7OTkzaWloZmhpOGU1OkBpamdqZzU5aGVocTMzaTczM0A2XjZfLTI2Xy8xNmIuYGIvYSMua2xhLm9qa25fLS1gMTZzcw%3D%3D&l=202210311748364AA6A4FD8653DA0648DC
messi10_fanclub,OfficialMessifanpage,False,False,278,712900,38,4700000,91,2020-03-16 19:05:34,Unbelievable!! 😳#messifans #messigoat #messi #messi_king #messivscr7 #lionelmessi #messifan #messi10 #leo_messi #messi10 #leo_messi ##leomessi #barca,3600000,28100000,50200,10400,18,https://v16m-webapp.tiktokcdn-us.com/d7fa4d499d4b1c9c39f2cbecd88ecd2b/63605edc/video/tos/maliva/tos-maliva-ve-0068c800-us/410ca63e70184205a70b9e8c1ed3d420/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1032&bt=516&cs=0&ds=3&ft=ebtHKHp8Myq8ZvjjNhe2NMhyfl7Gb&mime_type=video_mp4&qs=0&rc=ZDdnZmk7ZWRnN2g6PDc4ZUBpajRrcHE1bnJvczMzPDczM0BjNC82MDAyX2AxY2E1LzQtYSNtZWNoZDNtbmtfLS1jMTZzcw%3D%3D&l=2022103117482562D0860DBFEDC60643A1
messi10_fanclub,OfficialMessifanpage,False,False,278,712900,38,4700000,91,2020-03-17 15:49:31,Messi impossible goal.#barça #barcelona #messifans #messigoat #messi_king #messivscr7 #lionelmessi #messifan #messi10 #leo_messi #leomessi #messiah,193800,1300000,4248,649,60,https://v16m-webapp.tiktokcdn-us.com/f28e29b8c9e5b8514ec6c58f5c757a85/63605f0e/video/tos/maliva/tos-maliva-ve-0068c800-us/b868ebcf921b4b7aadf108ff8d6867bc/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1196&bt=598&cs=0&ds=3&ft=ebtHKHp8Myq8ZKjjNhe2NphRfl7Gb&mime_type=video_mp4&qs=0&rc=NTc1ZDY1PGVmaTc7NzQ0aEBpang6Z2xkeDk7czMzNzczM0BgLl5gMjFeNS8xLTMzMmEvYSM1Z14wZGAwLmxfLS1gMTZzcw%3D%3D&l=202210311748344AA6A4FD8653DA0648B5
rudy_willingham,rudy_willingham,True,False,5649,4500000,2303,127500000,326,2020-03-21 04:22:23,Which players/sports should I put up next? #happyathome #artistsoftiktok #lifeathome #soccer #futbol #lionelmessi #barcelona  #elevatorchallenge,201200,3600000,923,470,10,https://v16m-webapp.tiktokcdn-us.com/fb3140c09b7823fd902fe83d6aec2b38/63605edc/video/tos/useast5/tos-useast5-ve-0068c003-tx/ac5a0029c9654885a240d367a4943f72/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1960&bt=980&cs=0&ds=3&ft=ebtHKHp8Myq8ZKjjNhe2NphRfl7Gb&mime_type=video_mp4&qs=0&rc=ZDk4ODplaWdpOWY2NWlmOEBpMzR5OXZucndsczMzNjczM0A2XjM0LzZhXy0xX2NeLy01YSNtLjNtMi4uX25fLS02MTZzcw%3D%3D&l=202210311748344AA6A4FD8653DA0648B5
ali_yildiz1,Ali Yıldiz,False,False,16900,20200,9,500100,86,2020-05-14 06:28:59,#cristiano #lionelmessi #kesvetv #tiktokbeniöneçıkart #kes #fútbol #beniönecikart #fcbarcelona #ronaldinho #tiktokbeniöneçıkart #kesfetartik #müzik,189700,3300000,5346,1136,13,https://v16m-webapp.tiktokcdn-us.com/95d4d4257e415d1f5da0101a47edb8b2/63605ee0/video/tos/maliva/tos-maliva-ve-0068c800-us/a5c97bd779c442469eaf86e475032128/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2354&bt=1177&cs=0&ds=3&ft=ebtHKHp8Myq8ZAjjNhe2NBKqfl7Gb&mime_type=video_mp4&qs=0&rc=Nmk3NDc1NDdlZjxnNTxlZUBpanBnaHZnPHc6dDMzNjczM0A0LWBgYC4zXjQxMmJjNTY1YSNfZDZrNS5eNXJfLS0yMTZzcw%3D%3D&l=20221031174835BEFED7A55A28AA062909
chiamarsibomber,Chiamarsi Bomber ,True,False,910,1100000,113,26400000,1267,2020-05-18 00:42:21,"""Messi è unico, non si può ricreare.""Intanto in Cina:      #messi #leomessi #lionelmessi #soccer #funny #foryou",570400,5400000,7858,1871,45,https://v16m-webapp.tiktokcdn-us.com/6beef276b781f1e8caed191158f4eb78/63605ef7/video/tos/maliva/tos-maliva-ve-0068c800-us/e0089eab026940e6a87a28c5a70bdd80/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1232&bt=616&cs=0&ds=3&ft=ebtHKHp8Myq8ZJjjNhe2N1Jnfl7Gb&mime_type=video_mp4&qs=0&rc=Zzk2ZGg7OGQ5NmRkOzNlPEBpajw2NHE6bjVwdTMzNjczM0A2NmBiLmAuNl8xYS40MWMwYSNubS0zX2VvZi1fLS1eMTZzcw%3D%3D&l=20221031174826711D4387128BBF067CD5
doblevj,Doble VJ,False,False,34000,179000,192,7500000,1849,2020-05-21 00:47:11,Cracks 🔝 #fifa #fifa20 #comenten #foryou #messi #ronaldo #goals #football #soccer #fy #fyp #foryoupage #argentina #like #viral #tiktok #lionelmessi,344100,5800000,6690,3079,8,https://v16m-webapp.tiktokcdn-us.com/0304c5a8c98da9d8f4ac3b695b322d27/63605ed4/video/tos/maliva/tos-maliva-ve-0068c800-us/a627abea61b04849b2c89afd56c706c2/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=750&bt=375&cs=0&ds=3&ft=ebtHKHp8Myq8ZyjjNhe2NFD-fl7Gb&mime_type=video_mp4&qs=0&rc=NDc4Nmc2Nmg4OmlnNTQ0NUBpamVucjc2aTVvdTMzNjczM0BeXjYwMF8yNTYxLjM1YGFjYSMzXl4vcmEtci9fLS0yMTZzcw%3D%3D&l=2022103117482862D0860DBFEDC60643DA
football.kingss,❄️ football kings ❄️,False,False,98100,108800,573,658900,195,2020-06-04 02:54:02,the GOAT 🙌🏼 Messi ⭐#fyp #foryoupage #football #soccer #messi #lionelmessi #parati,276100,4300000,2554,517,10,https://v16m-webapp.tiktokcdn-us.com/766a62700cab321c3e08ead25e2904df/63605ed9/video/tos/maliva/tos-maliva-ve-0068c800-us/bf78ec84840b4cf49d90ae7a1983689a/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=5214&bt=2607&cs=0&ds=3&ft=ebtHKHp8Myq8ZIjjNhe2NYqdfl7Gb&mime_type=video_mp4&qs=0&rc=ZzYzaDNoO2g3ZTc7ZDs5OkBpM2l5PGh4N2h5dTMzaDczM0BiXjVgLmJiXy4xYF4zLzEvYSMvbmVmLTJwL19fLS1jMTZzcw%3D%3D&l=20221031174831711D4387128BBF067D43
futbolmundial1000,Fútbol mundial,False,False,288,124300,1,824000,95,2020-07-19 21:34:21,#fyp#fouryourpage#viral#parati#like#xzybca#messi#10#dios#lionelmessi#barcelona#argentina#crack,305400,2100000,3698,1271,12,https://v16m-webapp.tiktokcdn-us.com/7eec2cb7f6bdf130dd33f092bd3f1009/63605eda/video/tos/maliva/tos-maliva-ve-0068c800-us/b5b5964667f649d49c73df1033a3ee3a/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1046&bt=523&cs=0&ds=3&ft=ebtHKHp8Myq8ZMjjNhe2Nsiufl7Gb&mime_type=video_mp4&qs=0&rc=OjVlPDZlZ2g0Ozg3OjxnN0BpanU4aXQ2Znc3djMzZjczM0AtMi5fL2AzNi0xXi0wNi5fYSM0MmUxaWZnal5fLS1eMTZzcw%3D%3D&l=2022103117483062D0860DBFEDC60643F1
postunited,Post United,True,False,1751,2800000,29,42400000,1385,2020-08-21 00:11:03,Lionel Messi 👏🏻🤯 #gol #goal #golazo #messi #leomessi #lionelmessi #fcbarcelona #parati #foryou #fyp #viral #viralvideo,377800,4400000,5901,1910,12,https://v16m-webapp.tiktokcdn-us.com/cf7b313a4c551158e80b63f738b79a75/63605ed8/video/tos/maliva/tos-maliva-ve-0068c800-us/266e7d5de8ee4282809a23b1dc7bcfba/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1264&bt=632&cs=0&ds=3&ft=ebtHKHp8Myq8ZyjjNhe2NFD-fl7Gb&mime_type=video_mp4&qs=0&rc=NDo0Ojo3OWVkPGY0ZjlpOkBpanZoZzZmaTRkdjMzMzczM0BjMWFhYzUwNi4xNDJgLjAuYSNubWk0bmdnLnNfLS1gMTZzcw%3D%3D&l=2022103117482862D0860DBFEDC60643DA
jamie241_,Jamie,False,False,14300,32800,9,907400,48,2020-08-26 17:06:14,#lionelmessi #barcelona #psg #manutd #mancity #manchesterunited #manchestercity #fyp #foryou #foryoupage #thogden #thogdad #TDL #messileavingbarca,198400,2600000,16500,2186,38,https://v16m-webapp.tiktokcdn-us.com/2d83567b773d8d39517915a0e0aeaca9/63605ef8/video/tos/maliva/tos-maliva-ve-0068c800-us/0366c2685ff74add979e461de1a09ccb/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=592&bt=296&cs=0&ds=3&ft=ebtHKHp8Myq8ZKjjNhe2NphRfl7Gb&mime_type=video_mp4&qs=0&rc=ZGQzNGllPDxmNWU3NWU7NUBpajtyaWl1O3k1dzMzNzczM0A2M2IzYDFeNWExMDNhNDUzYSNsYWM0M2RtXzBfLS1eMTZzcw%3D%3D&l=202210311748344AA6A4FD8653DA0648B5
living.boutique,LIVING BOUTIQUE since1999,False,False,956,98700,0,1000000,400,2020-08-26 23:55:11,#Messi #lionelmessi10 #lionel_messiofficial #lionelmessi #messi10 #messi_messi10 #barcellona #argentina #pallonedoro #laliga,277400,5600000,6678,2402,12,https://v16m-webapp.tiktokcdn-us.com/cd04912aeef24106c67cf99b6e3e5c5c/63605edb/video/tos/alisg/tos-alisg-pve-0037/e259fa16a7124cd3914f308b6367500f/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3406&bt=1703&cs=0&ds=3&ft=ebtHKHp8Myq8ZIjjNhe2NYqdfl7Gb&mime_type=video_mp4&qs=0&rc=Z2k7PGQ4PGc2ODw8Z2dpN0BpanluZW1meGk7dzMzNDczM0BiXi8uYDMuXl8xYjI0Li1hYSNwNmdrbWtlXjBfLS0tMTRzcw%3D%3D&l=20221031174831711D4387128BBF067D43
fran_con_f,FRAN CON F,False,False,1147,167400,44,2400000,311,2020-08-28 06:47:29,Dolor #homerosimpson #lossimpson #lossimpsontiktok #lionelmessi #messibarcelona #messi10 #messifansclub #barcelonafc #barcelonafcmessi #margesimpson,342600,6800000,6958,836,13,https://v16m-webapp.tiktokcdn-us.com/51dad6f93872beee6c6ee56a9a0251bd/63605eda/video/tos/alisg/tos-alisg-pve-0037/0097bd7fa1084b05a75bf79f8e48aa2d/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2512&bt=1256&cs=0&ds=3&ft=ebtHKHp8Myq8ZQjjNhe2NCG-fl7Gb&mime_type=video_mp4&qs=0&rc=NGVoODs5O2ZnZWQ3NDQ0Z0BpM2Z4cTxpcHY2dzMzZDczM0BfNF5fMTRhNTQxNF4yLl41YSNlZ2MwMm9qYzFfLS0vMTRzcw%3D%3D&l=20221031174829493425C26264D90629AF
shian1000,Shian Duski,False,False,7609,70800,86,1700000,573,2020-09-15 02:36:15,#leomessi #messi_king #lionelmessi #fcbarcelona #football #soccer #english,760300,7500000,21600,6121,29,https://v16m-webapp.tiktokcdn-us.com/0e646a09172a861b32b709c1ddc9d37c/63605ee7/video/tos/alisg/tos-alisg-pve-0037/4d85ff8b18d74fbe867b3aa87c2c601b/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1090&bt=545&cs=0&ds=3&ft=ebtHKHp8Myq8ZJjjNhe2NnBGfl7Gb&mime_type=video_mp4&qs=0&rc=aDRmNGk4ZDpkODc5Nzk7ZkBpajNmeHRmOTR1dzMzZzczM0AzNjY1MV8uNi8xNjA1LjUwYSM1NDEzbl82ZGNfLS0zMTRzcw%3D%3D&l=20221031174825733A3B917461F5060013
aleremixyt,Ale Remix,False,False,429,173700,1,2700000,80,2020-10-03 09:46:55,GOLAZO 🔥👑 #fyp #parati #foryou 1 #fyp #kyzbca #leomessi10 #lionelmessi #messi #barcelona #soccer #futbol #goat #skill #messiskills #messigoals,197500,1600000,4479,1332,8,https://v16m-webapp.tiktokcdn-us.com/18d9acb6ba422c36c6dff8efeef25b5c/63605eda/video/tos/alisg/tos-alisg-pve-0037c001/0e3111b91f0642e58b659a9a48a24526/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3616&bt=1808&cs=0&ds=3&ft=ebtHKHp8Myq8ZKjjNhe2NphRfl7Gb&mime_type=video_mp4&qs=0&rc=OWg1NmY8aTkzZDQ1aGlpZUBpM3VrN2U7ZjR3dzMzOTczM0BiNTZgX2ExNV8xNDQxXzVeYSMyaGYtX3FwZG9fLS1eMTRzcw%3D%3D&l=202210311748344AA6A4FD8653DA0648B5
albifcb7,Albi 🇽🇰,False,False,17500,56600,7,2500000,60,2020-12-25 19:34:37,#fyp #ronaldo #messi #football #soccer #barcelona #juventus #realmadrid #fcbarcelona #Lionelmessi #cristianoronaldo #siu #cr7 #anfield,176700,1600000,1296,2190,57,https://v16m-webapp.tiktokcdn-us.com/dff571b398e6aae86b7d17b3db6ba524/63605f0c/video/tos/maliva/tos-maliva-ve-0068c800-us/bf8bb2a51a8b452ebcd9c6d761870a9d/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1618&bt=809&cs=0&ds=3&ft=ebtHKHp8Myq8Z4jjNhe2NLeGfl7Gb&mime_type=video_mp4&qs=0&rc=OTs1OjpnOjs8ZGk7OGdoZUBpM25mc3Y4OWp2eTMzOTczM0A0LTFfNmAxNmExNjA0Y2E0YSNxMzFlZ29ycGZfLS0tMTZzcw%3D%3D&l=20221031174836BEFED7A55A28AA06291E
